"Bill Of Material For Handheld Reader Analog4.PCB"
"On 17-Sep-2004 at 15:36:35"

"Comment","Pattern","Quantity","Components"


".001uF","0603","1","C41"
".1uF","0603","14","C2 C4 C5 C7 C8 C13 C14 C17 C18 C22 C26 C48 C50 C51"
".5 pF","0603","1","C20"
"0.001uF","0603","1","C16"
"0.18uH","0603","2","L6 L14"
"0.22uF","0603","1","C15"
"10","0603","1","R16"
"10 pF","0603","2","C30 C45"
"10.7 Mhz Filter","FILTER","2","Y1 Y2"
"100 nH","0603","2","L8 L11"
"100 pF","0603","8","C6 C21 C27 C32 C34 C36 C44 C47"
"100K","0603","2","R10 R31"
"10K","0603","4","R12 R38 R41 R49"
"10uF","CAP A CASE","4","C10 C12 C52 C53"
"150K","0603","1","R9"
"15K","0603","1","R47"
"15nH","0603","1","L12"
"18 nH","0603","1","L2"
"180","0603","1","R29"
"1K","0603","5","R8 R18 R26 R37 R48"
"1N914","SOT23 DIODE","1","D1"
"1X3 HEADER","1X3 HEADER","1","J4"
"1uF","CAP A CASE","1","C25"
"2 pF","0603","1","C33"
"2.2 mH","COIL 6.8UH","1","L4"
"2.2K","0603","2","R21 R46"
"22","0603","4","R3 R20 R33 R43"
"220 K","0603","1","R17"
"27 pF","0603","1","C1"
"2N3904","SOT23 TRANS","4","Q3 Q7 Q8 Q10"
"2N3906","SOT23 TRANS","2","Q2 Q9"
"3 pF","0603","1","C43"
"3.3K","0603","1","R25"
"33 nH","0603","1","L9"
"33 pF","0603","3","C11 C19 C42"
"330","0603","1","R2"
"330 nH","0805","1","L7"
"39K","0603","2","R15 R36"
"3K","0603","1","R24"
"4.7K","0603","7","R14 R19 R22 R35 R40 R42 R51"
"4.7nH","0603","1","L1"
"433.92_Resonator","RESONATOR","1","Y4"
"47 nH","0603","1","L10"
"47 pF","0603","6","C28 C29 C37 C38 C39 C40"
"470","0603","1","R4"
"4pF","0603","1","C23"
"5 PF","0603","1","C31"
"5 pF","0603","1","C3"
"56","0603","1","R1"
"560","0603","2","R7 R27"
"56K","0603","1","R50"
"5K POT","POT PANA EVN5","2","R6 R11"
"5pF","0603","1","C9"
"6 pF","0603","1","C46"
"6.8 nH","0603","1","L15"
"6.8 uH","0805","1","L3"
"6.8K","0603","2","R13 R34"
"6.8k","0603","1","R23"
"68","0603","2","R30 R39"
"7 PF","0603","1","C35"
"905.8_Resonator","RESONATOR","1","Y3"
"916.5_MHz Saw Filter","RESONATOR","1","Y5"
"916.5_Resonator","RESONATOR","1","Y6"
"AT-113","SO8","1","U6"
"BAR 65","DIODE SC79","1","D3"
"BFR193","SOT23 TRANS","2","Q4 Q5"
"BGA2001","SOT343","1","U1"
"CON10","1X10 HEADER SPECIAL","1","J3"
"CONN NEARSON NC-K01","CONN NEARSON NC-K01","2","J5 J6"
"DS1804","SO8 SMALL","1","U5"
"LMC555","SO8 SMALL","1","U9"
"LMV821","SOT25","2","U4 U8"
"Microstrip","MICROSTRIP","2","L5 L13"
"NE85619","3 PIN ULTRA SUPER MINI MOLD","2","Q1 Q6"
"SA636DK","SSOP20","1","U2"
"TLV1391","SOT25","1","U3"
"UPG52TA","TO6","1","U7"

